experiment_id,category,eval_lang,problem_type,model_type,model,vectorization,dataset_type,dataset_size,use_description,train_lang,f1_averaged,f1_all,hyperparameters,model_parameters,timestamp,vectorization_type,f1
logit_with_description_1,toy,fr-en,pairwise,baseline,random-forest,magellan,standard,small,False,en,0.6279761904761905,,"{'class_weight': 'balanced', 'n_jobs': -1}",,2021-02-22 17:05:34.299180,,
magellan_with_description_1,phone,de-en,pairwise,baseline,magellan,,standard,small,True,en,0.211494253,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:21.826999,,
magellan_with_description_1,phone,en,pairwise,baseline,magellan,,standard,small,True,en,0.187341772,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:19.366708,,
magellan_with_description_1,phone,es-en,pairwise,baseline,magellan,,standard,small,True,en,0.21194605,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:24.342968,,
magellan_with_description_1,phone,fr-en,pairwise,baseline,magellan,,standard,small,True,en,0.21978022,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:34:26.297167,,
magellan_with_description_1,toy,de-en,pairwise,baseline,magellan,,standard,small,True,en,0.5021645020000001,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:33:51.379141,,
magellan_with_description_1,toy,en,pairwise,baseline,magellan,,standard,small,True,en,0.427480916,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:33:48.686908,,
magellan_with_description_1,toy,es-en,pairwise,baseline,magellan,,standard,small,True,en,0.405333333,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:33:54.706211,,
magellan_with_description_1,toy,fr-en,pairwise,baseline,magellan,,standard,small,True,en,0.342733189,,"RandomForestClassifier(class_weight='balanced', random_state=0)",,2021-02-18 11:33:57.367744,,
magellan_without_description_1,phone,de-en,pairwise,baseline,magellan,,standard,small,False,en,0.170418006,,"SVC(class_weight='balanced', random_state=0)",,2021-02-18 11:34:59.736512,,
